weather,model,mAP50,mAP50_95,p50_ms,p95_ms
clear,frcnn_all,0.5987614108627859,0.329188107645628,64.05627727508545,64.3038272857666
partly_cloudy,frcnn_all,0.5302236901240468,0.2822027959947253,64.1554594039917,64.504075050354
overcast,frcnn_all,0.5072297993028748,0.28468285404372423,64.18204307556152,64.57172632217407
rainy,frcnn_all,0.44362459304729873,0.2374288654683766,64.06331062316895,64.35741186141968
snowy,frcnn_all,0.5787118364605955,0.31410804827668276,64.15057182312012,64.40080404281616
foggy,frcnn_all,0.5068316269657828,0.2526377205231648,64.17059898376465,64.43219184875488
