weather,model,mAP50,mAP50_95,p50_ms,p95_ms
clear,rtdetr_all,0.47187292368830647,0.26210744378604095,30.34031391143799,30.712521076202393
partly_cloudy,rtdetr_all,0.4948357635582431,0.2824112205763636,30.034542083740234,30.708742141723633
overcast,rtdetr_all,0.4706657608730286,0.26028883816364035,29.633522033691406,30.11094331741333
rainy,rtdetr_all,0.39409321571806666,0.2187950180386971,30.122995376586914,30.629634857177734
snowy,rtdetr_all,0.5790190833316036,0.3310389700723616,29.804229736328125,30.340683460235596
foggy,rtdetr_all,0.46587316775877946,0.23148516383237233,29.601573944091797,29.999065399169922
