weather,model,mAP50,mAP50_95,p50_ms,p95_ms
clear,FRCNN,0.5987614108627859,0.329188107645628,64.05627727508545,64.3038272857666
clear,RT-DETR,0.4718729236883064,0.2621074437860409,30.34031391143799,30.712521076202396
clear,YOLO_v8n,0.3687156789604731,0.2125622732609269,5.787676498584915,5.904326289601158
partly_cloudy,FRCNN,0.5302236901240468,0.2822027959947253,64.1554594039917,64.504075050354
partly_cloudy,RT-DETR,0.4948357635582431,0.2824112205763636,30.034542083740234,30.708742141723636
partly_cloudy,YOLO_v8n,0.3505990556979843,0.1903091302304839,5.787676498584915,5.904326289601158
overcast,FRCNN,0.5072297993028748,0.2846828540437242,64.18204307556152,64.57172632217407
overcast,RT-DETR,0.4706657608730286,0.2602888381636403,29.633522033691406,30.11094331741333
overcast,YOLO_v8n,0.3370076941252447,0.1963094543535475,5.787676498584915,5.904326289601158
rainy,FRCNN,0.4436245930472987,0.2374288654683766,64.06331062316895,64.35741186141968
rainy,RT-DETR,0.3940932157180666,0.2187950180386971,30.122995376586918,30.62963485717773
rainy,YOLO_v8n,0.3118604455260879,0.1653696632157871,5.787676498584915,5.904326289601158
snowy,FRCNN,0.5787118364605955,0.3141080482766827,64.15057182312012,64.40080404281616
snowy,RT-DETR,0.5790190833316036,0.3310389700723616,29.804229736328125,30.3406834602356
snowy,YOLO_v8n,0.3766684124677403,0.1982760142594949,5.787676498584915,5.904326289601158
foggy,FRCNN,0.5068316269657828,0.2526377205231648,64.17059898376465,64.43219184875488
foggy,RT-DETR,0.4658731677587794,0.2314851638323723,29.6015739440918,29.99906539916992
foggy,YOLO_v8n,0.3242858534523178,0.1500193986526125,5.787676498584915,5.904326289601158
