model,accuracy,precision,recall,f1,train_samples,val_samples,hard_threshold,train_hard_rate,val_hard_rate
gradient_boosting,0.8565,0.7694594594594595,0.8302712160979877,0.7987094964230608,69863,10000,0.6744882462546732,0.3500565392267724,0.3429
logistic_regression,0.8475,0.7406471183013145,0.8544765237678623,0.7935003385240352,69863,10000,0.6744882462546732,0.3500565392267724,0.3429
decision_tree,0.7865,0.6513804398689752,0.8118985126859143,0.7228352589900039,69863,10000,0.6744882462546732,0.3500565392267724,0.3429
random_forest,0.7858,0.6744375169422607,0.7255759696704579,0.6990727732509132,69863,10000,0.6744882462546732,0.3500565392267724,0.3429
